Date,Open,High,Low,Close,Adj Close,Volume
2022-03-18,4142.000000,4160.000000,4095.500000,4149.500000,4148.326660,8337
2022-03-21,4266.000000,4350.000000,4265.000000,4324.000000,4322.777344,16318
2022-03-22,4336.000000,4425.000000,4308.500000,4360.000000,4358.767578,19973
2022-03-23,4390.000000,4493.000000,4390.000000,4438.500000,4437.245117,10081
2022-03-25,4575.000000,4696.000000,4545.000000,4690.500000,4689.173828,19053
2022-03-28,4644.000000,4644.000000,4438.000000,4481.500000,4480.232910,6222
2022-03-29,4425.500000,4465.500000,4256.500000,4456.500000,4455.240234,2283
2022-03-30,4490.500000,4490.500000,4363.500000,4427.000000,4425.748047,2427
2022-03-31,4425.000000,4488.000000,4349.500000,4395.500000,4394.257324,1782
2022-04-01,4424.000000,4491.000000,4334.000000,4471.500000,4470.235840,9058
2022-04-04,4471.000000,4550.000000,4408.000000,4464.000000,4462.737793,4039
2022-04-05,4500.000000,4514.000000,4414.500000,4430.000000,4428.747559,2363
2022-04-06,4389.000000,4481.500000,4384.500000,4461.000000,4459.738770,8174
2022-04-07,4561.000000,4575.000000,4470.000000,4574.500000,4573.206543,4623
2022-04-08,4629.000000,4718.000000,4629.000000,4665.000000,4663.681152,2106
2022-04-11,4700.000000,4806.000000,4624.000000,4663.500000,4662.181152,6139
2022-04-12,4751.000000,4751.000000,4598.000000,4615.000000,4613.694824,3195
2022-04-13,4727.000000,4730.000000,4615.000000,4722.500000,4721.164551,2083
2022-04-18,4715.000000,4730.000000,4615.500000,4650.000000,4648.685547,5219
2022-04-19,4725.000000,4742.000000,4676.000000,4733.500000,4732.161621,5828
2022-04-20,4600.000000,4660.000000,4560.000000,4656.000000,4654.683594,6239
2022-04-21,4700.000000,4760.000000,4644.000000,4679.000000,4677.676758,7463
2022-04-22,4665.500000,4789.500000,4555.000000,4591.500000,4590.202148,1636
2022-04-25,4592.000000,4592.000000,4167.500000,4393.000000,4391.757813,8282
2022-04-26,4392.000000,4419.000000,4250.500000,4298.500000,4297.284668,1719
2022-04-27,4513.000000,4680.000000,4513.000000,4559.000000,4557.710938,2855
2022-04-28,4555.000000,4582.000000,4497.000000,4555.500000,4554.211914,4949
2022-04-29,4550.000000,4586.000000,4400.000000,4462.000000,4460.738770,2628
2022-05-02,4510.500000,4626.000000,4307.000000,4624.000000,4622.692871,1006
2022-05-03,4626.000000,4890.000000,4567.000000,4866.000000,4864.624512,3468
2022-05-04,4868.000000,4868.000000,4607.000000,4688.500000,4687.174805,2769
2022-05-05,4401.000000,4401.000000,4112.000000,4210.000000,4209.617676,6034
2022-05-06,4082.500000,4250.000000,4053.500000,4148.000000,4147.623535,3035
2022-05-09,3940.000000,4125.000000,3940.000000,3997.000000,3996.637207,2505
2022-05-10,4034.000000,4054.000000,3935.000000,4031.500000,4031.134033,921
2022-05-11,4195.000000,4250.000000,4100.000000,4130.000000,4129.625000,1940
2022-05-12,4003.000000,4115.000000,4003.000000,4091.500000,4091.128662,1516
2022-05-13,4185.000000,4244.500000,4180.000000,4242.500000,4242.114746,1416
2022-05-16,4287.500000,4378.000000,4229.000000,4270.000000,4269.612305,707
2022-05-17,4394.000000,4477.500000,4354.500000,4356.500000,4356.104492,6540
2022-05-19,4156.500000,4282.500000,4136.000000,4180.500000,4180.120605,438
2022-05-20,4306.500000,4363.000000,4240.000000,4347.500000,4347.105469,1568
2022-05-23,4381.000000,4550.000000,4381.000000,4540.000000,4539.587891,814
2022-05-24,4525.000000,4525.000000,4396.000000,4507.000000,4506.590820,1877
2022-05-26,4560.000000,4783.500000,4560.000000,4746.000000,4745.569336,2571
2022-05-27,4763.000000,4799.000000,4671.500000,4729.500000,4729.070801,1028
2022-05-30,4800.000000,4800.000000,4690.000000,4690.000000,4689.574219,107
2022-05-31,4636.000000,4686.000000,4607.500000,4620.500000,4620.080566,1934
2022-06-01,4619.000000,4635.000000,4550.000000,4621.000000,4620.580566,7008
2022-06-02,4602.000000,4688.500000,4580.000000,4580.000000,4579.584473,7771
2022-06-03,4585.500000,4585.500000,4494.000000,4532.500000,4532.088379,6957
2022-06-06,4517.500000,4660.000000,4517.500000,4641.000000,4640.578613,764
2022-06-07,4623.000000,4683.000000,4578.000000,4620.500000,4620.080566,6313
2022-06-08,4551.000000,4561.000000,4446.500000,4454.500000,4454.095703,9842
2022-06-09,4385.000000,4501.500000,4326.500000,4471.500000,4471.094238,1813
2022-06-10,4480.000000,4550.000000,4349.000000,4542.000000,4541.587891,9766
2022-06-13,4529.000000,4542.000000,4345.000000,4531.000000,4530.588867,10781
2022-06-14,4557.500000,4557.500000,4430.000000,4530.000000,4529.588867,2113
2022-06-15,4570.000000,4700.000000,4565.000000,4686.000000,4685.574707,3245
2022-06-16,4494.500000,4497.000000,4413.500000,4497.000000,4496.591797,10788
2022-06-21,4502.500000,4570.000000,4502.500000,4556.500000,4556.086426,10375
2022-06-22,4491.000000,4491.000000,4387.500000,4419.500000,4419.098633,10302
2022-06-23,4442.000000,4525.500000,4344.500000,4483.000000,4482.593262,10453
2022-06-24,4513.500000,4540.500000,4407.500000,4465.000000,4464.594727,9990
2022-06-27,4484.000000,4600.000000,4470.000000,4600.000000,4599.582520,9640
2022-06-28,4690.000000,4720.000000,4594.500000,4650.000000,4649.578125,7846
2022-06-29,4590.000000,4608.000000,4512.000000,4607.000000,4606.581543,9056
2022-06-30,4519.000000,4659.500000,4510.000000,4576.500000,4576.084473,1238
2022-07-01,4574.000000,4574.000000,4480.500000,4565.000000,4564.585449,496
2022-07-04,4570.000000,4890.000000,4570.000000,4890.000000,4889.556152,970
2022-07-05,4889.000000,4889.000000,4535.000000,4820.000000,4819.562500,6401
2022-07-06,4641.000000,4810.000000,4591.000000,4777.500000,4777.066406,3074
2022-07-07,4778.000000,5285.000000,4778.000000,5264.000000,5263.521973,1706
2022-07-08,5093.500000,5266.000000,5084.000000,5253.500000,5253.022949,1422
2022-07-11,5270.000000,5270.000000,5070.000000,5134.500000,5134.033691,10730
2022-07-12,5135.000000,5193.500000,4943.000000,4945.500000,4945.051270,9495
